User_ID,User_Archetype,u_hist,u_adv,u_nat,u_rel,Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng,c_raining,ENJOYMENT_SCORE
U0005,Historian,1.0,0.34,0.62,0.29,Elephant Rock,0.0,0.6,0.7,0.5,1,6.81,81.82,0,3.9
U0005,Historian,1.0,0.34,0.62,0.29,Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,0,5.3
U0005,Historian,1.0,0.34,0.62,0.29,Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107,0,8.5
U0005,Historian,1.0,0.34,0.62,0.29,Hakgala Botanical Garden,0.2,0.1,0.9,0.7,1,6.9274,80.8201,0,4.2
U0006,Historian,0.94,0.0,0.55,0.54,Galle Fort,0.9,0.1,0.2,0.8,1,6.0311,80.217,0,8.2
U0006,Historian,0.94,0.0,0.55,0.54,Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997,0,3.5
U0006,Historian,0.94,0.0,0.55,0.54,Mihintale,1.0,0.3,0.4,0.2,1,8.35,80.5167,0,8.4
U0006,Historian,0.94,0.0,0.55,0.54,Coconut Tree Hill,0.0,0.1,0.5,0.9,1,5.9381,80.4667,0,3.2
U0006,Historian,0.94,0.0,0.55,0.54,Nagadeepa Vihara,0.8,0.1,0.4,0.4,1,9.6167,79.7667,0,6.0
U0006,Historian,0.94,0.0,0.55,0.54,Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967,1,0.0
U0006,Historian,0.94,0.0,0.55,0.54,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,1,0.0
U0006,Historian,0.94,0.0,0.55,0.54,Hikkaduwa Coral Reef,0.1,0.6,0.7,0.5,1,6.1389,80.1,0,3.5
U0006,Historian,0.94,0.0,0.55,0.54,Victoria Park,0.3,0.0,0.8,0.8,1,6.9708,80.7675,0,3.6
U0006,Historian,0.94,0.0,0.55,0.54,Madol Doova,0.4,0.2,0.7,0.5,1,5.9667,80.3,0,3.8
U0006,Historian,0.94,0.0,0.55,0.54,Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107,0,7.6
U0006,Historian,0.94,0.0,0.55,0.54,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,1,0.0
U0006,Historian,0.94,0.0,0.55,0.54,Riverston Gap,0.1,0.8,0.9,0.1,1,7.5167,80.7333,0,3.2
U0006,Historian,0.94,0.0,0.55,0.54,Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,0,3.4
U0006,Historian,0.94,0.0,0.55,0.54,Parakrama Samudra,0.4,0.1,0.6,0.8,1,7.9333,81.0,0,4.1
U0007,Backpacker,0.22,1.0,0.64,0.24,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,6.6
U0007,Backpacker,0.22,1.0,0.64,0.24,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,0,3.1
U0007,Backpacker,0.22,1.0,0.64,0.24,Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608,0,4.1
U0007,Backpacker,0.22,1.0,0.64,0.24,Kumana Bird Sanctuary,0.1,0.4,1.0,0.4,1,6.5131,81.6878,0,5.0
U0007,Backpacker,0.22,1.0,0.64,0.24,Lipton's Seat,0.3,0.5,0.9,0.4,1,6.7833,81.0167,0,4.5
U0007,Backpacker,0.22,1.0,0.64,0.24,Madol Doova,0.4,0.2,0.7,0.5,1,5.9667,80.3,0,3.8
U0007,Backpacker,0.22,1.0,0.64,0.24,Lotus Tower,0.1,0.3,0.1,0.7,0,6.9269,79.8583,0,2.5
U0007,Backpacker,0.22,1.0,0.64,0.24,Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,0,2.7
U0007,Backpacker,0.22,1.0,0.64,0.24,Ella Rock Hike,0.1,0.9,0.8,0.1,1,6.8585,81.0505,0,8.8
U0007,Backpacker,0.22,1.0,0.64,0.24,Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,0,1.2
U0007,Backpacker,0.22,1.0,0.64,0.24,Trincomalee Harbour,0.5,0.2,0.6,0.4,1,8.5667,81.2333,0,3.4
U0007,Backpacker,0.22,1.0,0.64,0.24,Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,1,3.3
U0007,Backpacker,0.22,1.0,0.64,0.24,Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,0,5.2
U0007,Backpacker,0.22,1.0,0.64,0.24,Pasikudah Beach,0.1,0.1,0.5,1.0,1,7.9167,81.55,1,0.0
U0007,Backpacker,0.22,1.0,0.64,0.24,Point Pedro,0.4,0.3,0.5,0.3,1,9.8167,80.2333,0,2.8
U0008,Historian,0.77,0.24,0.24,0.49,Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0,0,1.6
U0008,Historian,0.77,0.24,0.24,0.49,Kumana Bird Sanctuary,0.1,0.4,1.0,0.4,1,6.5131,81.6878,1,0.0
U0008,Historian,0.77,0.24,0.24,0.49,Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306,0,2.1
U0008,Historian,0.77,0.24,0.24,0.49,Embekke Devalaya,1.0,0.1,0.2,0.4,0,7.2186,80.5658,0,5.9
U0008,Historian,0.77,0.24,0.24,0.49,Kandy Lake Stroll,0.4,0.1,0.5,0.9,1,7.2925,80.641,0,3.8
U0008,Historian,0.77,0.24,0.24,0.49,Victoria Park,0.3,0.0,0.8,0.8,1,6.9708,80.7675,0,3.3
U0008,Historian,0.77,0.24,0.24,0.49,Horton Plains,0.1,0.8,1.0,0.2,1,6.8028,80.8039,0,1.9
U0008,Historian,0.77,0.24,0.24,0.49,Lipton's Seat,0.3,0.5,0.9,0.4,1,6.7833,81.0167,0,1.7
U0008,Historian,0.77,0.24,0.24,0.49,Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,0,2.9
U0008,Historian,0.77,0.24,0.24,0.49,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,0,5.1
U0008,Historian,0.77,0.24,0.24,0.49,Sinharaja Forest Reserve,0.1,0.7,1.0,0.2,1,6.4167,80.5,0,2.1
U0008,Historian,0.77,0.24,0.24,0.49,Gregory Lake,0.1,0.2,0.6,0.8,1,6.9583,80.7764,0,2.8
U0008,Historian,0.77,0.24,0.24,0.49,Sea Turtle Hatchery,0.1,0.1,0.7,0.5,0,5.9833,80.2833,0,2.4
U0008,Historian,0.77,0.24,0.24,0.49,Jaffna Public Library,0.8,0.0,0.1,0.5,0,9.6611,80.0111,1,4.5
U0008,Historian,0.77,0.24,0.24,0.49,Nagadeepa Vihara,0.8,0.1,0.4,0.4,1,9.6167,79.7667,1,0.0
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Coconut Tree Hill,0.0,0.1,0.5,0.9,1,5.9381,80.4667,0,7.6
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306,1,0.0
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Hanthana Mountain Range,0.1,0.8,0.8,0.1,1,7.2586,80.6286,0,1.6
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Bambarakanda Falls,0.1,0.7,0.9,0.3,1,6.77,80.83,0,2.2
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0,0,3.0
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,0,3.7
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Delft Island,0.7,0.5,0.7,0.2,1,9.51,79.68,0,1.9
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Mihintale,1.0,0.3,0.4,0.2,1,8.35,80.5167,0,1.7
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Anuradhapura Sacred City,1.0,0.1,0.3,0.2,1,8.35,80.3949,0,1.0
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Sea Turtle Hatchery,0.1,0.1,0.7,0.5,0,5.9833,80.2833,0,3.3
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967,0,5.9
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,0,3.6
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,0,4.1
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,0,7.7
U0009,Luxury_Relax,0.0,0.09,0.33,0.95,Point Pedro,0.4,0.3,0.5,0.3,1,9.8167,80.2333,1,0.0
U0010,Backpacker,0.13,0.98,0.55,0.34,Old Dutch Hospital,0.7,0.1,0.1,0.9,0,6.9333,79.8417,0,2.8
U0010,Backpacker,0.13,0.98,0.55,0.34,Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107,0,3.0
U0010,Backpacker,0.13,0.98,0.55,0.34,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,0,6.5
U0010,Backpacker,0.13,0.98,0.55,0.34,Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,0,1.6
U0010,Backpacker,0.13,0.98,0.55,0.34,Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967,0,3.9
U0010,Backpacker,0.13,0.98,0.55,0.34,Japanese Peace Pagoda,0.7,0.1,0.4,0.8,1,6.015,80.2433,0,2.8
U0010,Backpacker,0.13,0.98,0.55,0.34,Little Adam's Peak,0.1,0.8,0.8,0.2,1,6.8667,81.0667,0,6.2
U0010,Backpacker,0.13,0.98,0.55,0.34,Dambulla Cave Temple,1.0,0.2,0.3,0.3,0,7.8565,80.6484,0,1.5
U0010,Backpacker,0.13,0.98,0.55,0.34,Lotus Tower,0.1,0.3,0.1,0.7,0,6.9269,79.8583,0,2.6
U0010,Backpacker,0.13,0.98,0.55,0.34,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,5.7
U0010,Backpacker,0.13,0.98,0.55,0.34,Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,0,1.4
U0010,Backpacker,0.13,0.98,0.55,0.34,Ella Rock Hike,0.1,0.9,0.8,0.1,1,6.8585,81.0505,0,7.8
U0010,Backpacker,0.13,0.98,0.55,0.34,Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306,0,4.4
U0010,Backpacker,0.13,0.98,0.55,0.34,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,0,2.1
U0010,Backpacker,0.13,0.98,0.55,0.34,Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,1,0.0
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,0,8.4
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,0,4.3
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,0,4.3
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Arugam Bay,0.1,0.9,0.6,0.4,1,6.8417,81.8333,0,5.2
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Galle Face Green,0.3,0.1,0.1,0.8,1,6.9269,79.8433,1,0.0
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Pasikudah Beach,0.1,0.1,0.5,1.0,1,7.9167,81.55,0,4.2
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,0,2.1
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Udawalawe National Park,0.1,0.6,1.0,0.2,1,6.4333,80.8833,0,9.3
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Galle Fort,0.9,0.1,0.2,0.8,1,6.0311,80.217,0,3.8
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Weligama Surf Break,0.0,0.9,0.4,0.3,1,5.9667,80.4333,0,4.2
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Rose Quartz Mountain,0.4,0.6,0.8,0.2,1,7.84,80.56,0,6.5
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Independence Square,0.7,0.0,0.2,0.6,1,6.9039,79.8678,0,3.1
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Koneswaram Temple,0.9,0.1,0.5,0.4,1,8.5825,81.2456,0,3.6
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608,1,0.8
U0011,Nature_Lover,0.15,0.6,1.0,0.55,Trincomalee Harbour,0.5,0.2,0.6,0.4,1,8.5667,81.2333,0,4.8
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Koggala Lake Safari,0.1,0.2,0.8,0.8,1,5.9833,80.3167,1,0.0
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Kandy Lake Stroll,0.4,0.1,0.5,0.9,1,7.2925,80.641,0,5.0
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,0,2.3
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Independence Square,0.7,0.0,0.2,0.6,1,6.9039,79.8678,0,3.6
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Nagadeepa Vihara,0.8,0.1,0.4,0.4,1,9.6167,79.7667,0,2.1
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Coconut Tree Hill,0.0,0.1,0.5,0.9,1,5.9381,80.4667,1,0.0
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Ceylon Tea Museum,0.8,0.0,0.2,0.6,0,7.2683,80.6319,0,2.8
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Ella Rock Hike,0.1,0.9,0.8,0.1,1,6.8585,81.0505,0,3.8
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0,0,4.3
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Jaffna Fort,0.9,0.2,0.3,0.4,1,9.6611,80.0083,0,2.9
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,St. Clair's Falls,0.1,0.3,0.9,0.6,1,6.9389,80.6464,0,4.2
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Trincomalee Harbour,0.5,0.2,0.6,0.4,1,8.5667,81.2333,0,2.2
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Mihintale,1.0,0.3,0.4,0.2,1,8.35,80.5167,0,1.5
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483,1,0.0
U0012,Digital_Nomad,0.19,0.28,0.54,0.72,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,0,3.9
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Hanthana Mountain Range,0.1,0.8,0.8,0.1,1,7.2586,80.6286,0,3.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,0,3.7
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Kelaniya Raja Maha Vihara,0.9,0.0,0.1,0.5,0,6.95,79.9167,0,2.6
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,0,4.7
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Weligama Surf Break,0.0,0.9,0.4,0.3,1,5.9667,80.4333,0,1.9
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Sinharaja Forest Reserve,0.1,0.7,1.0,0.2,1,6.4167,80.5,0,4.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,2.7
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Udawalawe National Park,0.1,0.6,1.0,0.2,1,6.4333,80.8833,1,0.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,0,2.2
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483,1,0.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Elephant Rock,0.0,0.6,0.7,0.5,1,6.81,81.82,1,0.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Muthurajawela Wetland,0.1,0.4,0.9,0.4,1,7.0333,79.85,0,4.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Sigiriya Lion Rock,1.0,0.4,0.5,0.1,1,7.957,80.7603,1,0.0
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,0,3.4
U0013,Family_Vacation,0.31,0.16,0.5,0.75,Point Pedro,0.4,0.3,0.5,0.3,1,9.8167,80.2333,0,1.9
U0014,Family_Vacation,0.63,0.4,0.66,0.93,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,1,3.1
