Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng
Lipton's Seat,0.3,0.5,0.9,0.4,1,6.7833,81.0167
Lotus Tower,0.1,0.3,0.1,0.7,0,6.9269,79.8583
Ella Rock Hike,0.1,0.9,0.8,0.1,1,6.8585,81.0505
Trincomalee Harbour,0.5,0.2,0.6,0.4,1,8.5667,81.2333
Point Pedro,0.4,0.3,0.5,0.3,1,9.8167,80.2333
Kandy Lake Stroll,0.4,0.1,0.5,0.9,1,7.2925,80.641
Horton Plains,0.1,0.8,1.0,0.2,1,6.8028,80.8039
Sea Turtle Hatchery,0.1,0.1,0.7,0.5,0,5.9833,80.2833
Anuradhapura Sacred City,1.0,0.1,0.3,0.2,1,8.35,80.3949
Old Dutch Hospital,0.7,0.1,0.1,0.9,0,6.9333,79.8417
Japanese Peace Pagoda,0.7,0.1,0.4,0.8,1,6.015,80.2433
Little Adam's Peak,0.1,0.8,0.8,0.2,1,6.8667,81.0667
Arugam Bay,0.1,0.9,0.6,0.4,1,6.8417,81.8333
Udawalawe National Park,0.1,0.6,1.0,0.2,1,6.4333,80.8833
Independence Square,0.7,0.0,0.2,0.6,1,6.9039,79.8678
Koneswaram Temple,0.9,0.1,0.5,0.4,1,8.5825,81.2456
Ceylon Tea Museum,0.8,0.0,0.2,0.6,0,7.2683,80.6319
Sigiriya Lion Rock,1.0,0.4,0.5,0.1,1,7.957,80.7603
Kitulgala Rafting,0.1,1.0,0.7,0.1,1,6.9833,80.4167
Mount Lavinia Beach,0.2,0.1,0.4,0.8,1,6.8333,79.8667
Avukana Buddha Statue,0.9,0.1,0.2,0.5,1,8.01,80.51
Marble Beach,0.1,0.2,0.6,0.9,1,8.5167,81.2167
Polonnaruwa Ruins,1.0,0.2,0.4,0.2,1,7.9333,81.0
Udawattekele Sanctuary,0.2,0.5,0.9,0.4,1,7.2989,80.6433
Negombo Fish Market,0.3,0.1,0.2,0.2,1,7.2,79.8333
